species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,bill_ratio,body_mass_kg
Adelie,Dream,39.8,19.1,184.0,4650.0,male,2007,2.083769633507853,4.65
Adelie,Dream,36.5,18.0,182.0,3150.0,female,2007,2.0277777777777777,3.15
Adelie,Dream,40.8,18.4,195.0,3900.0,male,2007,2.217391304347826,3.9
Adelie,Dream,36.0,18.5,186.0,3100.0,female,2007,1.945945945945946,3.1
Adelie,Dream,44.1,19.7,196.0,4400.0,male,2007,2.238578680203046,4.4
Adelie,Dream,37.0,16.9,185.0,3000.0,female,2007,2.1893491124260356,3.0
Adelie,Dream,39.6,18.8,190.0,4600.0,male,2007,2.106382978723404,4.6
Adelie,Dream,41.1,19.0,182.0,3425.0,male,2007,2.1631578947368424,3.425
Adelie,Dream,36.0,17.9,190.0,3450.0,female,2007,2.011173184357542,3.45
Adelie,Dream,42.3,21.2,191.0,4150.0,male,2007,1.9952830188679245,4.15
Adelie,Biscoe,39.6,17.7,186.0,3500.0,female,2008,2.2372881355932206,3.5
Adelie,Biscoe,40.1,18.9,188.0,4300.0,male,2008,2.121693121693122,4.3
Adelie,Biscoe,35.0,17.9,190.0,3450.0,female,2008,1.9553072625698324,3.45
Adelie,Biscoe,42.0,19.5,200.0,4050.0,male,2008,2.1538461538461537,4.05
Adelie,Biscoe,34.5,18.1,187.0,2900.0,female,2008,1.9060773480662982,2.9
Adelie,Biscoe,41.4,18.6,191.0,3700.0,male,2008,2.225806451612903,3.7
Adelie,Biscoe,39.0,17.5,186.0,3550.0,female,2008,2.2285714285714286,3.55
Adelie,Biscoe,40.6,18.8,193.0,3800.0,male,2008,2.1595744680851063,3.8
Adelie,Biscoe,36.5,16.6,181.0,2850.0,female,2008,2.1987951807228914,2.85
Adelie,Biscoe,37.6,19.1,194.0,3750.0,male,2008,1.9685863874345548,3.75
Adelie,Biscoe,35.7,16.9,185.0,3150.0,female,2008,2.112426035502959,3.15
Adelie,Biscoe,41.3,21.1,195.0,4400.0,male,2008,1.9573459715639807,4.4
Adelie,Biscoe,37.6,17.0,185.0,3600.0,female,2008,2.211764705882353,3.6
Adelie,Biscoe,41.1,18.2,192.0,4050.0,male,2008,2.258241758241758,4.05
Adelie,Biscoe,36.4,17.1,184.0,2850.0,female,2008,2.1286549707602336,2.85
Adelie,Biscoe,41.6,18.0,192.0,3950.0,male,2008,2.3111111111111113,3.95
Adelie,Biscoe,35.5,16.2,195.0,3350.0,female,2008,2.191358024691358,3.35
Adelie,Biscoe,41.1,19.1,188.0,4100.0,male,2008,2.1518324607329844,4.1
Adelie,Torgersen,35.9,16.6,190.0,3050.0,female,2008,2.1626506024096384,3.05
Adelie,Torgersen,41.8,19.4,198.0,4450.0,male,2008,2.154639175257732,4.45
Adelie,Torgersen,33.5,19.0,190.0,3600.0,female,2008,1.763157894736842,3.6
Adelie,Torgersen,39.7,18.4,190.0,3900.0,male,2008,2.1576086956521743,3.9
Adelie,Torgersen,39.6,17.2,196.0,3550.0,female,2008,2.302325581395349,3.55
Adelie,Torgersen,45.8,18.9,197.0,4150.0,male,2008,2.4232804232804233,4.15
Adelie,Torgersen,35.5,17.5,190.0,3700.0,female,2008,2.0285714285714285,3.7
Adelie,Torgersen,42.8,18.5,195.0,4250.0,male,2008,2.3135135135135134,4.25
Adelie,Torgersen,40.9,16.8,191.0,3700.0,female,2008,2.4345238095238093,3.7
Adelie,Torgersen,37.2,19.4,184.0,3900.0,male,2008,1.9175257731958766,3.9
Adelie,Torgersen,36.2,16.1,187.0,3550.0,female,2008,2.248447204968944,3.55
Adelie,Torgersen,42.1,19.1,195.0,4000.0,male,2008,2.2041884816753927,4.0
Adelie,Torgersen,34.6,17.2,189.0,3200.0,female,2008,2.011627906976744,3.2
Adelie,Torgersen,42.9,17.6,196.0,4700.0,male,2008,2.4374999999999996,4.7
Adelie,Torgersen,36.7,18.8,187.0,3800.0,female,2008,1.952127659574468,3.8
Adelie,Torgersen,35.1,19.4,193.0,4200.0,male,2008,1.8092783505154642,4.2
Adelie,Dream,37.3,17.8,191.0,3350.0,female,2008,2.095505617977528,3.35
Adelie,Dream,41.3,20.3,194.0,3550.0,male,2008,2.0344827586206895,3.55
Adelie,Dream,36.3,19.5,190.0,3800.0,male,2008,1.8615384615384614,3.8
Adelie,Dream,36.9,18.6,189.0,3500.0,female,2008,1.9838709677419353,3.5
Adelie,Dream,38.3,19.2,189.0,3950.0,male,2008,1.9947916666666665,3.95
Adelie,Dream,38.9,18.8,190.0,3600.0,female,2008,2.0691489361702127,3.6
Adelie,Dream,35.7,18.0,202.0,3550.0,female,2008,1.9833333333333334,3.55
Adelie,Dream,41.1,18.1,205.0,4300.0,male,2008,2.270718232044199,4.3
Adelie,Dream,34.0,17.1,185.0,3400.0,female,2008,1.9883040935672514,3.4
Adelie,Dream,39.6,18.1,186.0,4450.0,male,2008,2.187845303867403,4.45
Adelie,Dream,36.2,17.3,187.0,3300.0,female,2008,2.092485549132948,3.3
Adelie,Dream,40.8,18.9,208.0,4300.0,male,2008,2.1587301587301586,4.3
Adelie,Dream,38.1,18.6,190.0,3700.0,female,2008,2.0483870967741935,3.7
Adelie,Dream,40.3,18.5,196.0,4350.0,male,2008,2.1783783783783783,4.35
Adelie,Dream,33.1,16.1,178.0,2900.0,female,2008,2.0559006211180124,2.9
Adelie,Dream,43.2,18.5,192.0,4100.0,male,2008,2.3351351351351353,4.1
Adelie,Biscoe,35.0,17.9,192.0,3725.0,female,2009,1.9553072625698324,3.725
Adelie,Biscoe,41.0,20.0,203.0,4725.0,male,2009,2.05,4.725
Adelie,Biscoe,37.7,16.0,183.0,3075.0,female,2009,2.35625,3.075
Adelie,Biscoe,37.8,20.0,190.0,4250.0,male,2009,1.89,4.25
Adelie,Biscoe,37.9,18.6,193.0,2925.0,female,2009,2.0376344086021505,2.925
Adelie,Biscoe,39.7,18.9,184.0,3550.0,male,2009,2.100529100529101,3.55
Adelie,Biscoe,38.6,17.2,199.0,3750.0,female,2009,2.244186046511628,3.75
Adelie,Biscoe,38.2,20.0,190.0,3900.0,male,2009,1.9100000000000001,3.9
Adelie,Biscoe,38.1,17.0,181.0,3175.0,female,2009,2.2411764705882353,3.175
Adelie,Biscoe,43.2,19.0,197.0,4775.0,male,2009,2.2736842105263158,4.775
Adelie,Biscoe,38.1,16.5,198.0,3825.0,female,2009,2.309090909090909,3.825
Adelie,Biscoe,45.6,20.3,191.0,4600.0,male,2009,2.2463054187192117,4.6
Adelie,Biscoe,39.7,17.7,193.0,3200.0,female,2009,2.2429378531073447,3.2
Adelie,Biscoe,42.2,19.5,197.0,4275.0,male,2009,2.1641025641025644,4.275
Adelie,Biscoe,39.6,20.7,191.0,3900.0,female,2009,1.9130434782608696,3.9
Adelie,Biscoe,42.7,18.3,196.0,4075.0,male,2009,2.3333333333333335,4.075
Adelie,Torgersen,38.6,17.0,188.0,2900.0,female,2009,2.2705882352941176,2.9
Adelie,Torgersen,37.3,20.5,199.0,3775.0,male,2009,1.819512195121951,3.775
Adelie,Torgersen,35.7,17.0,189.0,3350.0,female,2009,2.1,3.35
Adelie,Torgersen,41.1,18.6,189.0,3325.0,male,2009,2.2096774193548385,3.325
Adelie,Torgersen,36.2,17.2,187.0,3150.0,female,2009,2.104651162790698,3.15
Adelie,Torgersen,37.7,19.8,198.0,3500.0,male,2009,1.9040404040404042,3.5
Adelie,Torgersen,40.2,17.0,176.0,3450.0,female,2009,2.364705882352941,3.45
Adelie,Torgersen,41.4,18.5,202.0,3875.0,male,2009,2.2378378378378376,3.875
Adelie,Torgersen,35.2,15.9,186.0,3050.0,female,2009,2.2138364779874213,3.05
Adelie,Torgersen,40.6,19.0,199.0,4000.0,male,2009,2.136842105263158,4.0
Adelie,Torgersen,38.8,17.6,191.0,3275.0,female,2009,2.204545454545454,3.275
Adelie,Torgersen,41.5,18.3,195.0,4300.0,male,2009,2.26775956284153,4.3
Adelie,Torgersen,39.0,17.1,191.0,3050.0,female,2009,2.280701754385965,3.05
Adelie,Torgersen,44.1,18.0,210.0,4000.0,male,2009,2.45,4.0
Adelie,Torgersen,38.5,17.9,190.0,3325.0,female,2009,2.1508379888268156,3.325
Adelie,Torgersen,43.1,19.2,197.0,3500.0,male,2009,2.244791666666667,3.5
Adelie,Dream,36.8,18.5,193.0,3500.0,female,2009,1.989189189189189,3.5
Adelie,Dream,37.5,18.5,199.0,4475.0,male,2009,2.027027027027027,4.475
Adelie,Dream,38.1,17.6,187.0,3425.0,female,2009,2.164772727272727,3.425
Adelie,Dream,41.1,17.5,190.0,3900.0,male,2009,2.3485714285714288,3.9
Adelie,Dream,35.6,17.5,191.0,3175.0,female,2009,2.0342857142857143,3.175
Adelie,Dream,40.2,20.1,200.0,3975.0,male,2009,2.0,3.975
Adelie,Dream,37.0,16.5,185.0,3400.0,female,2009,2.242424242424242,3.4
Adelie,Dream,39.7,17.9,193.0,4250.0,male,2009,2.217877094972067,4.25
Adelie,Dream,40.2,17.1,193.0,3400.0,female,2009,2.350877192982456,3.4
Adelie,Dream,40.6,17.2,187.0,3475.0,male,2009,2.36046511627907,3.475
Adelie,Dream,32.1,15.5,188.0,3050.0,female,2009,2.070967741935484,3.05
Adelie,Dream,40.7,17.0,190.0,3725.0,male,2009,2.394117647058824,3.725
Adelie,Dream,37.3,16.8,192.0,3000.0,female,2009,2.220238095238095,3.0
Adelie,Dream,39.0,18.7,185.0,3650.0,male,2009,2.085561497326203,3.65
Adelie,Dream,39.2,18.6,190.0,4250.0,male,2009,2.10752688172043,4.25
Adelie,Dream,36.6,18.4,184.0,3475.0,female,2009,1.9891304347826089,3.475
Adelie,Dream,36.0,17.8,195.0,3450.0,female,2009,2.0224719101123596,3.45
Adelie,Dream,37.8,18.1,193.0,3750.0,male,2009,2.0883977900552484,3.75
Adelie,Dream,36.0,17.1,187.0,3700.0,female,2009,2.1052631578947367,3.7
Adelie,Dream,41.5,18.5,201.0,4000.0,male,2009,2.2432432432432434,4.0
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,female,2007,3.4924242424242427,4.5
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,male,2007,3.067484662576687,5.7
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,female,2007,3.4539007092198584,4.45
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,male,2007,3.2894736842105265,5.7
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,male,2007,3.282758620689655,5.4
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,female,2007,3.4444444444444446,4.55
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,female,2007,3.1095890410958904,4.8
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,male,2007,3.0522875816993467,5.2
Gentoo,Biscoe,43.3,13.4,209.0,4400.0,female,2007,3.231343283582089,4.4
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,male,2007,3.038961038961039,5.15
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,female,2007,2.985401459854015,4.65
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,male,2007,3.043478260869565,5.55
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,female,2007,3.321167883211679,4.65
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,male,2007,3.315068493150685,5.85
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,female,2007,3.136986301369863,4.2
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,male,2007,3.140127388535032,5.85
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,female,2007,3.111111111111111,4.15
Gentoo,Biscoe,49.2,15.2,221.0,6300.0,male,2007,3.2368421052631584,6.3
Gentoo,Biscoe,46.2,14.5,209.0,4800.0,female,2007,3.1862068965517243,4.8
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,male,2007,3.2251655629139075,5.35
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,male,2007,3.5104895104895104,5.7
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,female,2007,3.110344827586207,5.0
Gentoo,Biscoe,46.5,14.5,213.0,4400.0,female,2007,3.206896551724138,4.4
Gentoo,Biscoe,46.3,15.8,215.0,5050.0,male,2007,2.9303797468354427,5.05
Gentoo,Biscoe,42.9,13.1,215.0,5000.0,female,2007,3.2748091603053435,5.0
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,male,2007,3.0529801324503314,5.1
Gentoo,Biscoe,47.8,15.0,215.0,5650.0,male,2007,3.1866666666666665,5.65
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,female,2007,3.370629370629371,4.6
Gentoo,Biscoe,50.0,15.3,220.0,5550.0,male,2007,3.2679738562091503,5.55
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,male,2007,3.091503267973856,5.25
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,female,2007,3.0140845070422535,4.7
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,female,2007,3.110344827586207,5.05
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,male,2007,3.5058823529411764,6.05
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,female,2008,3.3175675675675675,5.15
Gentoo,Biscoe,48.4,16.3,220.0,5400.0,male,2008,2.969325153374233,5.4
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,female,2008,3.109489051094891,4.95
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,male,2008,2.566473988439306,5.25
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,female,2008,3.235294117647059,4.35
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,male,2008,3.101910828025478,5.35
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,female,2008,3.1167883211678835,3.95
Gentoo,Biscoe,49.6,16.0,225.0,5700.0,male,2008,3.1,5.7
Gentoo,Biscoe,45.3,13.7,210.0,4300.0,female,2008,3.3065693430656933,4.3
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,male,2008,3.3066666666666666,4.75
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,male,2008,3.1761006289308176,5.55
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,female,2008,3.1366906474820144,4.9
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,female,2008,3.273381294964029,4.2
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,male,2008,3.1761006289308176,5.4
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,female,2008,3.37593984962406,5.1
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,male,2008,2.8607594936708862,5.3
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,female,2008,3.2816901408450705,4.85
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,male,2008,3.4397163120567376,5.3
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,female,2008,3.1319444444444446,4.4
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,male,2008,3.3400000000000003,5.0
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,female,2008,3.2291666666666665,4.9
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,male,2008,2.922077922077922,5.05
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,female,2008,3.151079136690647,4.3
Gentoo,Biscoe,45.5,15.0,220.0,5000.0,male,2008,3.033333333333333,5.0
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,female,2008,2.9793103448275864,4.45
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,male,2008,3.2941176470588234,5.55
Gentoo,Biscoe,45.3,13.8,208.0,4200.0,female,2008,3.2826086956521734,4.2
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,male,2008,3.1006711409395975,5.3
Gentoo,Biscoe,45.7,13.9,214.0,4400.0,female,2008,3.287769784172662,4.4
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,male,2008,3.4585987261146496,5.65
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,female,2008,3.2253521126760565,4.7
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,male,2008,2.964285714285714,5.7
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,male,2008,3.055555555555556,5.8
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,female,2008,3.063380281690141,4.7
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,male,2008,3.3800000000000003,5.55
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,female,2008,3.18,4.75
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,male,2008,2.9743589743589745,5.0
Gentoo,Biscoe,48.2,15.6,221.0,5100.0,male,2008,3.08974358974359,5.1
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,female,2008,3.1418918918918917,5.2
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,female,2008,3.0933333333333333,4.7
Gentoo,Biscoe,48.6,16.0,230.0,5800.0,male,2008,3.0375,5.8
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,female,2008,3.3450704225352115,4.6
Gentoo,Biscoe,51.1,16.3,220.0,6000.0,male,2008,3.1349693251533743,6.0
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,female,2008,3.2753623188405796,4.75
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,male,2008,2.75609756097561,5.95
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,female,2009,3.386206896551724,4.625
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,male,2009,3.3653846153846154,5.45
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,female,2009,3.2465753424657535,4.725
Gentoo,Biscoe,50.0,15.9,224.0,5350.0,male,2009,3.144654088050314,5.35
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,female,2009,3.253623188405797,4.75
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,male,2009,2.936416184971098,5.6
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,female,2009,3.013888888888889,4.6
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,male,2009,3.612676056338028,5.3
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,female,2009,3.392857142857143,4.875
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,male,2009,3.0647058823529414,5.55
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,female,2009,3.1666666666666665,4.95
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,male,2009,3.052631578947368,5.4
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,female,2009,3.1379310344827585,4.75
Gentoo,Biscoe,49.5,16.1,224.0,5650.0,male,2009,3.074534161490683,5.65
Gentoo,Biscoe,44.5,14.7,214.0,4850.0,female,2009,3.0272108843537415,4.85
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,male,2009,3.2356687898089174,5.2
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,male,2009,3.1265822784810124,4.925
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,female,2009,3.212328767123288,4.875
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,female,2009,3.3611111111111107,4.625
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,male,2009,3.096969696969697,5.25
Gentoo,Biscoe,48.5,15.0,219.0,4850.0,female,2009,3.2333333333333334,4.85
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,male,2009,3.288235294117647,5.6
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,female,2009,3.045161290322581,4.975
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,male,2009,3.2733333333333334,5.5
Gentoo,Biscoe,46.8,16.1,215.0,5500.0,male,2009,2.9068322981366457,5.5
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,female,2009,2.8367346938775513,4.7
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,male,2009,3.3797468354430378,5.5
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,female,2009,3.0928571428571425,4.575
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,male,2009,3.185430463576159,5.5
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,female,2009,3.322368421052632,5.0
Gentoo,Biscoe,49.8,15.9,229.0,5950.0,male,2009,3.132075471698113,5.95
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,female,2009,2.861842105263158,4.65
Gentoo,Biscoe,51.5,16.3,230.0,5500.0,male,2009,3.1595092024539877,5.5
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,female,2009,3.276595744680851,4.375
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,male,2009,3.44375,5.85
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,male,2009,3.0123456790123457,6.0
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,female,2009,3.445255474452555,4.925
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,female,2009,3.2727272727272725,4.85
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,male,2009,3.210191082802548,5.75
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,female,2009,3.054054054054054,5.2
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,male,2009,3.0993788819875774,5.4
Chinstrap,Dream,46.5,17.9,192.0,3500.0,female,2007,2.597765363128492,3.5
Chinstrap,Dream,50.0,19.5,196.0,3900.0,male,2007,2.5641025641025643,3.9
Chinstrap,Dream,51.3,19.2,193.0,3650.0,male,2007,2.671875,3.65
Chinstrap,Dream,45.4,18.7,188.0,3525.0,female,2007,2.427807486631016,3.525
Chinstrap,Dream,52.7,19.8,197.0,3725.0,male,2007,2.6616161616161618,3.725
Chinstrap,Dream,45.2,17.8,198.0,3950.0,female,2007,2.539325842696629,3.95
Chinstrap,Dream,46.1,18.2,178.0,3250.0,female,2007,2.5329670329670333,3.25
Chinstrap,Dream,51.3,18.2,197.0,3750.0,male,2007,2.8186813186813184,3.75
Chinstrap,Dream,46.0,18.9,195.0,4150.0,female,2007,2.433862433862434,4.15
Chinstrap,Dream,51.3,19.9,198.0,3700.0,male,2007,2.577889447236181,3.7
Chinstrap,Dream,46.6,17.8,193.0,3800.0,female,2007,2.6179775280898876,3.8
Chinstrap,Dream,51.7,20.3,194.0,3775.0,male,2007,2.5467980295566504,3.775
Chinstrap,Dream,47.0,17.3,185.0,3700.0,female,2007,2.7167630057803467,3.7
Chinstrap,Dream,52.0,18.1,201.0,4050.0,male,2007,2.87292817679558,4.05
Chinstrap,Dream,45.9,17.1,190.0,3575.0,female,2007,2.6842105263157894,3.575
Chinstrap,Dream,50.5,19.6,201.0,4050.0,male,2007,2.576530612244898,4.05
Chinstrap,Dream,50.3,20.0,197.0,3300.0,male,2007,2.5149999999999997,3.3
Chinstrap,Dream,58.0,17.8,181.0,3700.0,female,2007,3.258426966292135,3.7
Chinstrap,Dream,46.4,18.6,190.0,3450.0,female,2007,2.494623655913978,3.45
Chinstrap,Dream,49.2,18.2,195.0,4400.0,male,2007,2.7032967032967035,4.4
Chinstrap,Dream,42.4,17.3,181.0,3600.0,female,2007,2.450867052023121,3.6
Chinstrap,Dream,48.5,17.5,191.0,3400.0,male,2007,2.7714285714285714,3.4
Chinstrap,Dream,43.2,16.6,187.0,2900.0,female,2007,2.602409638554217,2.9
Chinstrap,Dream,50.6,19.4,193.0,3800.0,male,2007,2.6082474226804124,3.8
Chinstrap,Dream,46.7,17.9,195.0,3300.0,female,2007,2.608938547486034,3.3
Chinstrap,Dream,52.0,19.0,197.0,4150.0,male,2007,2.736842105263158,4.15
Chinstrap,Dream,50.5,18.4,200.0,3400.0,female,2008,2.7445652173913047,3.4
Chinstrap,Dream,49.5,19.0,200.0,3800.0,male,2008,2.6052631578947367,3.8
Chinstrap,Dream,46.4,17.8,191.0,3700.0,female,2008,2.6067415730337076,3.7
Chinstrap,Dream,52.8,20.0,205.0,4550.0,male,2008,2.6399999999999997,4.55
Chinstrap,Dream,40.9,16.6,187.0,3200.0,female,2008,2.4638554216867465,3.2
Chinstrap,Dream,54.2,20.8,201.0,4300.0,male,2008,2.605769230769231,4.3
Chinstrap,Dream,42.5,16.7,187.0,3350.0,female,2008,2.5449101796407185,3.35
Chinstrap,Dream,51.0,18.8,203.0,4100.0,male,2008,2.7127659574468086,4.1
Chinstrap,Dream,49.7,18.6,195.0,3600.0,male,2008,2.672043010752688,3.6
Chinstrap,Dream,47.5,16.8,199.0,3900.0,female,2008,2.827380952380952,3.9
Chinstrap,Dream,47.6,18.3,195.0,3850.0,female,2008,2.601092896174863,3.85
Chinstrap,Dream,52.0,20.7,210.0,4800.0,male,2008,2.5120772946859904,4.8
Chinstrap,Dream,46.9,16.6,192.0,2700.0,female,2008,2.8253012048192767,2.7
Chinstrap,Dream,53.5,19.9,205.0,4500.0,male,2008,2.6884422110552766,4.5
